"id","kebijakan_id","program_id","kegiatan_id","cost_type_id","code","name"
"mak242","1","1.09","1.09.03","2","650.1.1.09.03.2","Jumlah IPK/IPS 2,53,0/Honor/Upah"
"mak243","1","1.09","1.09.03","3","650.1.1.09.03.3","Jumlah IPK/IPS 2,53,0/Sewa"
"mak244","1","1.09","1.09.03","4","650.1.1.09.03.4","Jumlah IPK/IPS 2,53,0/Outsourcing"
"mak245","1","1.09","1.09.03","5","650.1.1.09.03.5","Jumlah IPK/IPS 2,53,0/Overhead"
"mak246","1","1.09","1.09.04","1","650.1.1.09.04.1","Jumlah IPK/IPS 3,04,0/Bahan habis pakai"
"mak247","1","1.09","1.09.04","2","650.1.1.09.04.2","Jumlah IPK/IPS 3,04,0/Honor/Upah"
"mak248","1","1.09","1.09.04","3","650.1.1.09.04.3","Jumlah IPK/IPS 3,04,0/Sewa"
"mak249","1","1.09","1.09.04","4","650.1.1.09.04.4","Jumlah IPK/IPS 3,04,0/Outsourcing"
"mak250","1","1.09","1.09.04","5","650.1.1.09.04.5","Jumlah IPK/IPS 3,04,0/Overhead"
"mak251","1","1.09","1.09.05","1","650.1.1.09.05.1","Segmentasi status akademik mhs berdasar perolehan SKS/Bahan habis pakai"
"mak252","1","1.09","1.09.05","2","650.1.1.09.05.2","Segmentasi status akademik mhs berdasar perolehan SKS/Honor/Upah"
"mak253","1","1.09","1.09.05","3","650.1.1.09.05.3","Segmentasi status akademik mhs berdasar perolehan SKS/Sewa"
"mak254","1","1.09","1.09.05","4","650.1.1.09.05.4","Segmentasi status akademik mhs berdasar perolehan SKS/Outsourcing"
"mak255","1","1.09","1.09.05","5","650.1.1.09.05.5","Segmentasi status akademik mhs berdasar perolehan SKS/Overhead"
"mak256","1","1.10","1.10.01","1","650.1.1.10.01.1","Ketepatan waktu mulai/Bahan habis pakai"
"mak257","1","1.10","1.10.01","2","650.1.1.10.01.2","Ketepatan waktu mulai/Honor/Upah"
"mak258","1","1.10","1.10.01","3","650.1.1.10.01.3","Ketepatan waktu mulai/Sewa"
"mak259","1","1.10","1.10.01","4","650.1.1.10.01.4","Ketepatan waktu mulai/Outsourcing"
"mak260","1","1.10","1.10.01","5","650.1.1.10.01.5","Ketepatan waktu mulai/Overhead"
